"fuel_type_code","station_name","street_address","intersection_directions","city","state","zip","plus4","station_phone","status_code","expected_date","groups_with_access_code","access_days_time","cards_accepted","ev_level1_evse_num","ev_level2_evse_num","ev_dc_fast_count","ev_other_info","ev_network","ev_network_web","geocode_status","latitude","longitude","date_last_confirmed","id","updated_at","owner_type_code","federal_agency_id","federal_agency_name","open_date","ev_connector_types"
"ELEC","ADELPHI UNIV STATION 02","1 South Ave",,"Garden City","NY","11530",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","40.719585","-73.650042","2023-08-12T00:00:00.000","171552","2023-08-12 00:18:39",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","MONTANTE SOLAR STATION 3","1277 Delaware Ave",,"Buffalo","NY","14209",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.91832","-78.86707","2023-08-12T00:00:00.000","217200","2023-08-12 00:32:58",,,,"2022-05-08T00:00:00.000","J1772"
"ELEC","BURNS MGT THE SPRINGS #5","74 Weibel Ave",,"Saratoga Springs","NY","12866",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.094795","-73.743675","2023-08-12T00:00:00.000","143573","2023-08-12 00:13:07",,,,"2019-08-15T00:00:00.000","J1772"
"ELEC","CAPCOMFCU CHRGPOINT CT4 1","6 Winners Cir",,"Albany","NY","12205",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.719104","-73.795364","2023-08-12T00:00:00.000","185238","2023-08-12 00:24:33",,,,"2021-02-20T00:00:00.000","J1772"
"ELEC","APDC ADMIN LOT PORT 1.2","106 Smith Blvd",,"Albany","NY","12202",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.626232","-73.75825","2023-08-12T00:00:00.000","165222","2023-08-12 00:22:10",,,,"2020-08-14T00:00:00.000","J1772"
"ELEC","PICOTTE 22 CORPORATE 2","22 Corporate Woods Blvd",,"Albany","NY","12211",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.681545","-73.768265","2023-08-12T00:00:00.000","181108","2023-08-12 00:22:34",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","BURNS MGT BROOM SHOP 6","6 Broom Shop Ln",,"Latham","NY","12110",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.740052","-73.790525","2023-08-12T00:00:00.000","193395","2023-08-12 00:27:15",,,,"2021-07-31T00:00:00.000","J1772"
"ELEC","STATION 4TH FL MOTORGATE #2","Main St/10 River Rd",,"New York","NY","10044",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","40.764208","-73.947198","2023-08-12T00:00:00.000","168525","2023-08-12 00:23:33",,,,"2020-11-17T00:00:00.000","J1772"
"ELEC","Angelina's Ristorante - Tesla Destination","399 Ellis St",,"Staten Island","NY","10307",,"718-227-2900  877-798-3752","E",,"Public",,,,"3.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-9","40.513465","-74.251418","2022-10-06T00:00:00.000","115240","2023-01-18 15:15:20","P",,,"2016-01-11T00:00:00.000","TESLA"
"ELEC","117 South Main","117 S. Main St",,"Syracuse","NY","13212",,"844-623-1001","E",,"Public","24 hours daily","A CREDIT D M V",,"2.0",,,"LIVINGSTON","https://www.solution.energy","GPS","43.13471","-76.12919","2022-07-12T00:00:00.000","223225","2023-02-14 15:54:11","P",,,"2022-01-26T00:00:00.000","J1772"
"ELEC","Price Chopper","10 Glenwood Ave",,"Binghamton","NY","13905",,"607-770-7151","E",,"Public","24 hours daily",,,"2.0",,,"Non-Networked",,"200-9","42.107612","-75.935778","2023-03-08T00:00:00.000","154765","2023-03-08 17:16:33","P",,,"2015-09-01T00:00:00.000","J1772"
"ELEC","Town of East Hampton/Montauk, NY","70 South Euclid Ave",,"Montauk","NY","11954",,"833-632-2778","E",,"Public","24 hours daily",,,,"4.0",,"Electrify America","https://www.electrifyamerica.com/","GPS","41.03591","-71.94349","2023-08-12T00:00:00.000","170247","2023-08-12 00:42:57",,,,"2020-12-17T00:00:00.000","CHADEMO J1772COMBO"
"ELEC","MPG 1-50 51st Ave - Tesla Destination","1-50 51st Ave",,"Long Island City","NY","11101",,"718-433-1420  877-798-3752","E",,"Public",,,,"4.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-9","40.743049","-73.959245","2022-10-06T00:00:00.000","114968","2023-01-18 15:15:20","P",,,"2018-05-15T00:00:00.000","TESLA"
"ELEC","The Beltrone Living Center","6 Winners Cir",,"Albany","NY","12205",,"844-623-1001","E",,"Public - Credit card at all times","24 hours daily","A CREDIT D M V",,"6.0",,,"LIVINGSTON","https://www.solution.energy","GPS","42.71836","-73.79525","2022-09-14T00:00:00.000","225116","2023-02-14 15:54:11","P",,,"2022-07-26T00:00:00.000","J1772"
"ELEC","Rochester Institute of Technology - Lot T","1 Lomb Memorial Dr","Located across from the GIS building","Rochester","NY","14623",,"585-475-5000","E",,"Public","24 hours daily; access restricted to students and staff 5am-5pm; parking pass required",,,"6.0",,,"Non-Networked",,"200-9","43.08779","-77.674413","2023-03-08T00:00:00.000","63988","2023-03-08 17:16:33","P",,,"2013-10-01T00:00:00.000","J1772"
"ELEC","RTS EMS VISITOR","1372 E Main St",,"Rochester","NY","14609",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.161118","-77.57421","2023-08-12T00:00:00.000","227673","2023-08-12 00:35:15",,,,"2022-09-16T00:00:00.000","J1772"
"ELEC","LARKIN726RRAMPP LARKIN 3","726 Exchange St",,"Buffalo","NY","14210",,"888-758-4389","E",,"Public","Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.874883","-78.849816","2023-08-12T00:00:00.000","182985","2023-08-12 00:12:15",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","TOWNOFHEMPSTEAD EAST MARINA 1N","1501 Lido Blvd",,"Point Lookout","NY","11569",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","40.592463","-73.584309","2023-08-12T00:00:00.000","162282","2023-08-12 00:08:09",,,,"2020-06-12T00:00:00.000","J1772"
"ELEC","NATIONAL GRID HOLIDAY VALLEY","6081 US-219",,"Ellicottville","NY","14731",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.2618","-78.663077","2023-08-12T00:00:00.000","162249","2023-08-12 00:09:24",,,,"2020-06-12T00:00:00.000","J1772"
"ELEC","COMMCTR 59 N PUTT3","59 N Putt Corners Rd",,"New Paltz","NY","12561",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","41.747807","-74.064644","2023-08-12T00:00:00.000","202955","2023-08-12 00:30:34",,,,"2021-12-23T00:00:00.000","J1772"
"ELEC","EVolve NY Binghamton","33 South Washington",,"Binghamton","NY","13903",,"833-632-2778","E",,"Public","24 hours daily",,,,"4.0",,"Electrify America","https://www.electrifyamerica.com/","GPS","42.09037","-75.91355","2023-08-12T00:00:00.000","203302","2023-08-12 00:42:57",,,,"2021-12-30T00:00:00.000","CHADEMO J1772COMBO"
"ELEC","Hamilton College-Babbitt Pavilion","1260 Green Apple Way",,"Clinton","NY","13323",,"866-816-7584","E",,"Public",,,,"2.0",,,"EV Connect","http://evconnect.com/","GPS","43.049038","-75.411693","2023-08-12T00:00:00.000","230896","2023-08-12 00:47:30",,,,"2022-09-30T00:00:00.000","J1772"
"ELEC","TOWN OF CHESTER SENIORCENTEREV1","81 Laroe Rd",,"Chester","NY","10918",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","41.343432","-74.267411","2023-08-12T00:00:00.000","253802","2023-08-12 00:36:09",,,,"2023-02-09T00:00:00.000","J1772"
"ELEC","Westchester Medical Center","100 Woods Road",,"Valhalla","NY","10595",,"866-816-7584","E",,"Public",,,,"4.0",,,"EV Connect","http://evconnect.com/","GPS","41.086676","-73.806065","2023-08-12T00:00:00.000","123262","2023-08-12 00:47:00",,,,"2019-04-01T00:00:00.000","J1772"
"ELEC","LIN-DAN MORTY","329 E 21st St",,"New York","NY","10010",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","40.736161","-73.980267","2023-08-12T00:00:00.000","205859","2023-08-12 00:31:06",,,,"2022-02-04T00:00:00.000","J1772"
"ELEC","WOODLAKE STATION 2","61 Woodlake Rd N",,"Albany","NY","12203",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.677214","-73.847115","2023-08-12T00:00:00.000","51095","2023-08-12 00:14:53",,,,"2013-02-15T00:00:00.000","J1772"
"ELEC","Stewart's Shops - Tesla Supercharger","5805   NY-9G",,"Hudson","NY","12534",,"877-798-3752","E",,"Public","24 hours daily","A D Debit M V",,,"8.0",,"Tesla","https://www.tesla.com/supercharger","GPS","42.223087","-73.826751","2023-07-01T00:00:00.000","205810","2023-07-14 19:41:28","P",,,"2022-02-04T00:00:00.000","TESLA"
"ELEC","Regeneron Troy","1 Global View",,"Troy","NY","12180",,"833-692-6787","E",,"Public - Credit card at all times","24 hours daily","A ANDROID_PAY APPLE_PAY CREDIT D M",,"8.0",,,"AMPUP","https://ampup.io/","200-9","42.682259","-73.70471","2023-03-08T00:00:00.000","230714","2023-03-08 17:16:33","P",,,"2022-09-15T00:00:00.000","J1772"
"ELEC","EVolveNY Schroon Lake","1567 U.S. 9",,"Schroon Lake","NY","12870",,"855-900-7584","E",,"Public","24 hours daily",,,,"4.0",,"SHELL_RECHARGE","https://shellrecharge.com/en-us/solutions","GPS","43.86927","-73.752752","2023-08-12T00:00:00.000","194236","2023-08-12 00:41:56",,,,"2021-08-25T00:00:00.000","CHADEMO J1772COMBO"
"ELEC","LANDMARK ALBANY LANDMARK ALBANY","100 Sandidge Way",,"Albany","NY","12203",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.687836","-73.83313","2023-08-12T00:00:00.000","169976","2023-08-12 00:24:32",,,,"2020-12-08T00:00:00.000","J1772"
"ELEC","799 SENECA STATION 5","799 Seneca St",,"Buffalo","NY","14210",,"888-758-4389","E",,"Public","Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm",,,"1.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.875107","-78.847622","2023-08-12T00:00:00.000","191249","2023-08-12 00:27:45",,,,"2021-06-19T00:00:00.000","J1772"
"ELEC","MARKET 32 EV BALLTOWN EV3","442 Balltown Rd",,"Schenectady","NY","12304",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.77538","-73.893252","2023-08-12T00:00:00.000","175722","2023-08-12 00:20:01",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","ATRIUM EVCHARGE EV6","451 Clifton Park Center Rd",,"Clifton Park","NY","12065",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.856264","-73.785696","2023-08-12T00:00:00.000","225564","2023-08-12 00:32:35",,,,"2022-08-16T00:00:00.000","J1772"
"ELEC","TOWNE TV EV 1","3125-3133 Carman Rd",,"Schenectady","NY","12303",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.762775","-73.94001","2023-08-12T00:00:00.000","192933","2023-08-12 00:28:03",,,,"2021-07-17T00:00:00.000","J1772"
"ELEC","MARKET CENTER 55 RAILROAD 1.1","55 Railroad Pl",,"Saratoga Springs","NY","12866",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.082428","-73.78791","2023-08-12T00:00:00.000","181897","2023-08-12 00:24:00",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","WINDSOR GARDENS WGA LEFT","55 Hobbes Ln",,"Rochester","NY","14624",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.142415","-77.756018","2023-08-12T00:00:00.000","257167","2023-08-12 00:38:24",,,,"2023-03-28T00:00:00.000","J1772"
"ELEC","The Cambium","10 Byron Place","Residents/Tenants only||","Larchmont","NY","10538",,"888-998-2546","E",,"Public",,,,"2.0",,,"Blink Network","http://www.blinkcharging.com/","GPS","40.931507","-73.76318","2023-06-21T00:00:00.000","190072","2023-06-21 00:01:20",,,,"2021-05-25T00:00:00.000","J1772"
"ELEC","MAGUIRE HYUNDAI CPF50 #1","1910 Alvin Rd",,"Grand Island","NY","14072",,"888-758-4389","E",,"Public","24 hours daily",,,"1.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.011415","-78.968372","2023-08-12T00:00:00.000","202143","2023-08-12 00:30:34",,,,"2021-12-08T00:00:00.000","J1772"
"ELEC","GGMC Parking E 74th Street - Tesla Destination","300 E 74th St",,"New York","NY","10021",,"212-988-8026  877-798-3752","E",,"Public",,,,"3.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-8","40.769947","-73.956989","2022-10-06T00:00:00.000","115084","2023-01-18 15:15:20","P",,,"2016-12-28T00:00:00.000","J1772 TESLA"
"ELEC","RRH CARTER 1 FL NGW","1415 Portland Ave",,"Rochester","NY","14621",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.191449","-77.58914","2023-08-12T00:00:00.000","174456","2023-08-12 00:14:21",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","IBEW139 EDUCATI STATION 1","415 W 2nd St",,"Elmira","NY","14901",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.089325","-76.816073","2023-08-12T00:00:00.000","162150","2023-08-12 00:10:47",,,,"2020-06-12T00:00:00.000","J1772"
"ELEC","Peppermints Restaurant - Tesla Destination","4870 W Henrietta Rd",,"Henrietta","NY","14467",,"585-359-9169  877-798-3752","E",,"Public",,,,"3.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-9","43.0553429","-77.6532771","2022-10-06T00:00:00.000","114948","2023-01-18 15:15:20","P",,,"2017-12-29T00:00:00.000","TESLA"
"ELEC","VERONA LA QUINTA 2","5390 Willow Pl",,"Verona","NY","13478",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.122196","-75.59264","2023-08-12T00:00:00.000","181237","2023-08-12 00:22:37",,,,"2021-01-27T00:00:00.000","J1772"
"ELEC","22 Russel St.","22 Russell St",,"White Plains","NY","10606",,"888-356-8911","E",,"Public","24 hours daily",,,"3.0",,,"FLO","https://flo.ca/","GPS","41.03714","-73.78106","2023-08-12T00:00:00.000","257807","2023-08-12 00:52:13",,,,"2023-04-01T00:00:00.000","J1772"
"ELEC","1000 Kenwood Ct Woodlands","1000 Kenwood Ct",,"Latham","NY","12110",,"844-623-1001","E",,"Public - Credit card at all times","24 hours daily","A CREDIT D M V",,"6.0",,,"LIVINGSTON","https://www.solution.energy","GPS","42.74828","-73.77168","2022-12-13T00:00:00.000","236638","2023-02-14 15:54:11","P",,,"2022-10-28T00:00:00.000","J1772"
"ELEC","NORTHTOWN CENTE NORTHTOWN CENTE","1615 Amherst Manor Dr",,"Buffalo","NY","14221",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.995621","-78.783178","2023-08-12T00:00:00.000","213340","2023-08-12 00:32:37",,,,"2022-04-02T00:00:00.000","J1772"
"ELEC","Fairfield Inn & Suites by Marriott Canton","5955 US-11",,"Canton","NY","13617",,"315-379-9222","E",,"Public - Credit card at all times","24 hours daily","A D Debit M V",,"1.0",,,"Non-Networked",,"GPS","44.5997886569614","-75.1453958153261","2022-09-14T00:00:00.000","227093","2023-02-14 15:54:11","P",,,"2022-08-29T00:00:00.000","J1772"
"ELEC","MUNICIPAL EVSE PARK STREET 1","50-54 Park St",,"Glens Falls","NY","12801",,"888-758-4389","E",,"Public","24 hours daily",,,"2.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","43.30791","-73.644584","2023-08-12T00:00:00.000","162345","2023-08-12 00:06:40",,,,"2020-06-12T00:00:00.000","J1772"
"ELEC","Queens Center Mall","90-15 Queens Blvd.",,"Elmhurst","NY","11373",,"833-632-2778","E",,"Public","24 hours daily",,,"1.0","3.0",,"Electrify America","https://www.electrifyamerica.com/","GPS","40.73487","-73.87038","2023-08-12T00:00:00.000","147204","2023-08-12 00:43:00",,,,"2019-10-24T00:00:00.000","CHADEMO J1772 J1772COMBO"
"ELEC","Icon Parking 202 E 18th Street - Tesla Destination","202 E 18th St",,"Manhattan","NY","10003",,"212-473-9869  877-798-3752","E",,"Public",,,,"2.0",,,"Tesla Destination","https://www.tesla.com/destination-charging","200-8","40.735496","-73.985024","2022-10-06T00:00:00.000","150570","2023-01-18 15:15:20","P",,,"2019-03-31T00:00:00.000","TESLA"
"ELEC","TPWC TPWC 11","2594 Western Av",,"Altamont","NY","12009",,"888-758-4389","E",,"Public","24 hours daily",,,"1.0",,,"ChargePoint Network","http://www.chargepoint.com/","GPS","42.71434","-73.9347","2023-08-12T00:00:00.000","227773","2023-08-12 00:28:39",,,,"2022-09-17T00:00:00.000","J1772"
